frequency_MHz,experimental_data,reference_full_data_fit,adaptive_fit_30_points,adaptive_fit_40_points,adaptive_fit_50_points,adaptive_fit_60_points,adaptive_fit_70_points,adaptive_fit_80_points,adaptive_fit_90_points
2743.5,0.9992568614950685,0.9998465807241032,1.0,0.9999537565202755,0.9999274209912087,0.9999012977535009,0.9998708031205575,0.9998509733692228,0.9998604759703692
2744.0,0.9985881386053485,0.9998420948615886,0.9999999999999999,0.9999525267494942,0.9999254257641468,0.9998985639373594,0.9998672142817832,0.9998468217778986,0.9998565877348814
2744.5,0.9978142151256344,0.9998373468159865,0.9999999999999993,0.9999512284789857,0.999923317768136,0.999895675422569,0.9998634225198368,0.999842435257228,0.9998524794128586
2745.0,0.9985856762624855,0.9998323127451265,0.999999999999997,0.9999498557357124,0.9999210871748365,0.9998926186369483,0.9998594102418829,0.9998377935213618,0.9998481319693485
2745.5,0.9989181893065597,0.9998269653024698,0.9999999999999879,0.9999484017465007,0.9999187228889194,0.9998893781712302,0.9998551576411284,0.9998328738080868,0.9998435240204377
2746.0,0.9983619272821131,0.9998212726489765,0.999999999999953,0.999946858716581,0.9999162122394403,0.999885936293031,0.9998506422073882,0.9998276503805194,0.9998386313435249
2746.5,0.998803269147786,0.9998151970355261,0.9999999999998229,0.9999452174862272,0.9999135405223345,0.9998822722314186,0.9998458380349705,0.9998220938406566,0.9998334261953814
2747.0,0.9986932084857144,0.9998086927597665,0.9999999999993547,0.9999434669846062,0.9999106903030209,0.9998783611068917,0.999840714820097,0.9998161701573564,0.9998278763369989
2747.5,0.9992470055885609,0.9998017032261315,0.9999999999977268,0.9999415933501244,0.9999076403356626,0.9998741723199849,0.9998352363858896,0.9998098392618939,0.9998219436129958
2748.0,1.0000184592520998,0.999794156744574,0.9999999999922566,0.9999395785113412,0.9999043638784338,0.999869667126827,0.9998293584973077,0.9998030529946561,0.9998155818613254
2748.5,1.0001296827844295,0.9997859605941165,0.999999999974496,0.9999373979129833,0.9999008260745803,0.999864795017681,0.9998230256267422,0.9997957520921186,0.9998087338315268
2749.0,0.9989095683431054,0.9997769927579793,0.9999999999187796,0.9999350169182492,0.9998969799198107,0.9998594883727169,0.9998161662003496,0.999787861780659,0.9998013266634813
2749.5,0.9981320263901051,0.9997670906205043,0.9999999997499088,0.9999323852135933,0.9998927601427852,0.9998536547005403,0.9998086856964112,0.9997792853927806,0.9997932653236087
2750.0,0.9995709586392112,0.9997560358235056,0.9999999992554242,0.9999294282826793,0.9998880740883188,0.9998471655793385,0.999800456787295,0.9997698952476264,0.9997844232178317
2750.5,1.0001247505632402,0.9997435344421347,0.9999999978566321,0.9999260347097381,0.9998827884242719,0.9998398412391624,0.9997913055334658,0.999759519856296,0.9997746290163076
2751.0,1.00056608535839,0.999729191699236,0.999999994034295,0.9999220377441138,0.9998767102217658,0.9998314295830516,0.9997809924827067,0.9997479263515086,0.9997636485631924
2751.5,1.0005648517680956,0.9997124806424496,0.9999999839452319,0.9999171892578976,0.9998695607365011,0.9998215783983706,0.999769187448839,0.9997347969453027,0.9997511606519524
2752.0,0.9998997680534879,0.9996927046140209,0.9999999582243205,0.9999111240410847,0.9998609401274563,0.9998097996301416,0.9997554368087646,0.999719698250673,0.9997367254878544
2752.5,1.0000073630432884,0.9996689539989924,0.9999998948957614,0.9999033124257053,0.9998502814996213,0.9997954249625207,0.9997391224478851,0.9997020425431221,0.9997197449162589
2753.0,1.0005611510154633,0.999640058676247,0.9999997443215278,0.9998929996699212,0.9998367931869586,0.9997775526755329,0.9997194120937386,0.9996810405759945,0.999699414059964
2753.5,0.9995623321378824,0.9996045388194161,0.9999993986250725,0.9998791315461683,0.9998193892485958,0.9997549868934607,0.9996952017915078,0.9996556464855395,0.9996746649687147
2754.0,0.9998948370086982,0.9995605581519681,0.9999986323540115,0.9998602673393672,0.9997966098664839,0.9997261719652237,0.9996650527494315,0.9996244966894386,0.9996441043003385
2754.5,1.0003361682785041,0.9995058853382804,0.9999969926823882,0.9998344840955071,0.9997665357791199,0.9996891267965382,0.9996271267150981,0.9995858465040396,0.999605948931512
2755.0,0.9998923715045414,0.9994378706999798,0.9999936061547232,0.9997992794770694,0.9997267040252639,0.9996413863714781,0.9995791263421311,0.9995375104030455,0.9995579656542444
2755.5,0.9998911387570226,0.9993534466197466,0.9999868561628091,0.9997514848045504,0.9996740358994438,0.9995799602151064,0.9995182494575542,0.9994768142203991,0.9994974235503249
2756.0,0.9986710456693374,0.9992491605120855,0.9999738748109046,0.9996872043683718,0.9996047917211099,0.9995013197789017,0.9994411683931225,0.9994005698349389,0.999421069911896
2756.5,0.9981147983514465,0.9991212487633183,0.9999497918825919,0.9996018011721919,0.9995145701461043,0.9994014281713208,0.9993440471198385,0.999305084506516,0.9993251422216527
2757.0,0.9991111444901768,0.998965758275396,0.9999067034346742,0.9994899519367697,0.9993983714584984,0.9992758257238201,0.9992226092571127,0.9991862175133523,0.9992054291581937
2757.5,0.9990010862980434,0.998778719018374,0.9998323766186369,0.9993457942958686,0.9992507436252521,0.9991197830054794,0.9990722685466353,0.9990394955075541,0.999057392277643
2758.0,0.9978898266042365,0.9985563663516038,0.9997088071131746,0.9991631855017928,0.9990660259923407,0.998928528643009,0.9988883296389314,0.9988602946116673,0.9988763564843199
2758.5,0.998222329847615,0.9982954061774976,0.9995108926940778,0.9989360837533682,0.9988386977623186,0.9986975525279966,0.9986662608743737,0.9986440915505032,0.9986577714624556
2759.0,0.9978873660682295,0.9979933100119849,0.9992056630565471,0.9986590501892789,0.9985638267995741,0.998422976019388,0.998402032447325,0.9983867783342208,0.998397538181128
2759.5,0.9974435772376024,0.9976486220278723,0.9987526664723462,0.9983278523042766,0.9982375996683927,0.9981019704988028,0.9980925038472318,0.9980850261066485,0.9980923853296333
2760.0,0.9981061845551358,0.9972612577717189,0.9981061845551592,0.9979401298628994,0.9978578979504161,0.9977331957265154,0.9977358354549862,0.9977366754655814,0.9977402717984285
2760.5,0.9972198390730542,0.9968327767065106,0.9972198390731225,0.9974960653737848,0.9974248717290203,0.9973172221932196,0.9973318931256541,0.997341125446943,0.9973407856569901
2761.0,0.9965547742416244,0.996366620264025,0.9960537968407964,0.9969989870084167,0.9969414525412709,0.9968568999526042,0.9968826147235509,0.9968996948735325,0.9968955108557723
2761.5,0.996002163901916,0.9958683253301841,0.9945841557316721,0.9964558272788914,0.9964137494859221,0.996357643330389,0.9963923174617083,0.9964159418112805,0.9964083438906898
2762.0,0.9955547526242504,0.9953457490630241,0.992813290024615,0.9958773702961331,0.9958512875060408,0.9958276187959701,0.9958679473929863,0.9958959526807892,0.9958857670257366
2762.5,0.9952234225267588,0.9948093668148827,0.990779142861494,0.9952782464307646,0.9952670775392188,0.9952778516643058,0.9953193069099159,0.995348651535755,0.9953371218208721
2763.0,0.9945583634363463,0.9942727083951065,0.9885609570356714,0.9946766727026621,0.9946775484719919,0.994722298253613,0.9947593323598038,0.9947862203171025,0.994774965545241
2763.5,0.9934507517834913,0.9937529337344029,0.9862790142835006,0.9940939757194531,0.9941023990039742,0.9941779402360257,0.9942045004684815,0.9942247255728203,0.9942155990105491
2764.0,0.9932282501750471,0.9932713543462994,0.9840867767149333,0.9935539375114215,0.9935643952748617,0.9936648998445612,0.9936753539651041,0.9936849381107066,0.9936797547397148
